BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;03.01.2017;Индекс МосБиржи;Индекс МосБиржи;2285,43;2231,52;2293,99;2231,52;35361476775;;;2;10711996571649,61;RUB;4687074196,6025;3;
SNDX;IMOEX;04.01.2017;Индекс МосБиржи;Индекс МосБиржи;2263,9;2284,61;2284,61;2251,75;25110003543;;;2;10611049025711,58;RUB;4687074196,6025;3;
SNDX;IMOEX;05.01.2017;Индекс МосБиржи;Индекс МосБиржи;2220,35;2265,72;2270,94;2213,45;27415124274;;;2;10406965926564,65;RUB;4687074196,6025;3;
SNDX;IMOEX;06.01.2017;Индекс МосБиржи;Индекс МосБиржи;2213,93;2221,36;2230,41;2195,44;20165327203;;;2;10376841998872,33;RUB;4687074196,6025;3;
SNDX;IMOEX;09.01.2017;Индекс МосБиржи;Индекс МосБиржи;2211,25;2217,74;2227,88;2201,6;22482015752;;;2;10364291615280,53;RUB;4687074196,6025;3;
SNDX;IMOEX;10.01.2017;Индекс МосБиржи;Индекс МосБиржи;2237,49;2209,53;2237,88;2205,87;36020856703;;;2;10487278014234,64;RUB;4687074196,6025;3;
SNDX;IMOEX;11.01.2017;Индекс МосБиржи;Индекс МосБиржи;2218,61;2233,62;2239,87;2211,16;36461564415;;;2;10398800785603,2;RUB;4687074196,6025;3;
SNDX;IMOEX;12.01.2017;Индекс МосБиржи;Индекс МосБиржи;2212;2224,02;2228,55;2205,55;38818422221;;;2;10367821794161,53;RUB;4687074196,6025;3;
SNDX;IMOEX;13.01.2017;Индекс МосБиржи;Индекс МосБиржи;2195,19;2214,24;2217,47;2173,39;42466050989;;;2;10289027265093,13;RUB;4687074196,6025;3;
SNDX;IMOEX;16.01.2017;Индекс МосБиржи;Индекс МосБиржи;2189,07;2195,67;2202,39;2180,78;23936262365;;;2;10260352949899,85;RUB;4687074196,6025;3;
SNDX;IMOEX;17.01.2017;Индекс МосБиржи;Индекс МосБиржи;2178,73;2189,95;2195,36;2167,88;28139377671;;;2;10211846928539,56;RUB;4687074196,6025;3;
SNDX;IMOEX;18.01.2017;Индекс МосБиржи;Индекс МосБиржи;2170,09;2180,64;2190;2165,32;30577942830;;;2;10171367795085,65;RUB;4687074196,6025;3;
SNDX;IMOEX;19.01.2017;Индекс МосБиржи;Индекс МосБиржи;2162,25;2171,45;2178,22;2151,43;37111133409;;;2;10134638269503,66;RUB;4687074196,6025;3;
SNDX;IMOEX;20.01.2017;Индекс МосБиржи;Индекс МосБиржи;2159,96;2162,71;2165,88;2147,19;31573243736;;;2;10123873663093,35;RUB;4687074196,6025;3;
SNDX;IMOEX;23.01.2017;Индекс МосБиржи;Индекс МосБиржи;2146,09;2160,13;2160,13;2136,35;26168520190;;;2;10058868189312,43;RUB;4687074196,6025;3;
SNDX;IMOEX;24.01.2017;Индекс МосБиржи;Индекс МосБиржи;2174,59;2147,51;2174,59;2147,51;33802172657;;;2;10192457157355,74;RUB;4687074196,6025;3;
SNDX;IMOEX;25.01.2017;Индекс МосБиржи;Индекс МосБиржи;2176;2175,4;2178,92;2163,55;31668116818;;;2;10199057540104,54;RUB;4687074196,6025;3;
SNDX;IMOEX;26.01.2017;Индекс МосБиржи;Индекс МосБиржи;2229,2;2179,34;2230,77;2179,34;43653193710;;;2;10448438629953,6;RUB;4687074196,6025;3;
SNDX;IMOEX;27.01.2017;Индекс МосБиржи;Индекс МосБиржи;2266,05;2226,87;2266,05;2219,67;49995044331;;;2;10621156093915,68;RUB;4687074196,6025;3;
SNDX;IMOEX;30.01.2017;Индекс МосБиржи;Индекс МосБиржи;2234,14;2263,63;2263,63;2231,4;30963964593;;;2;10471575723807,67;RUB;4687074196,6025;3;
SNDX;IMOEX;31.01.2017;Индекс МосБиржи;Индекс МосБиржи;2217,39;2233,66;2240,57;2215,79;33330303997;;;2;10393049122398,53;RUB;4687074196,6025;3;
SNDX;IMOEX;01.02.2017;Индекс МосБиржи;Индекс МосБиржи;2231,68;2219,19;2231,68;2214;28946938830;;;2;10460051144135,3;RUB;4687074196,6025;3;
SNDX;IMOEX;02.02.2017;Индекс МосБиржи;Индекс МосБиржи;2217,56;2231,66;2236,8;2210,14;32135487325;;;2;10393878301730,05;RUB;4687074196,6025;3;
SNDX;IMOEX;03.02.2017;Индекс МосБиржи;Индекс МосБиржи;2226,61;2219,49;2228,05;2213,22;30332628482;;;2;10436301244989,46;RUB;4687074196,6025;3;
SNDX;IMOEX;06.02.2017;Индекс МосБиржи;Индекс МосБиржи;2210,51;2228,85;2230,86;2202,2;28053268013;;;2;10360829280503,1;RUB;4687074196,6025;3;
SNDX;IMOEX;07.02.2017;Индекс МосБиржи;Индекс МосБиржи;2218,77;2210,87;2218,77;2201,22;24378965516;;;2;10399555834851,7;RUB;4687074196,6025;3;
SNDX;IMOEX;08.02.2017;Индекс МосБиржи;Индекс МосБиржи;2189,61;2215,34;2217,37;2180,21;36147621890;;;2;10262848128656,45;RUB;4687074196,6025;3;
SNDX;IMOEX;09.02.2017;Индекс МосБиржи;Индекс МосБиржи;2173,98;2192,24;2196,08;2160,42;37686993129;;;2;10189590501988,56;RUB;4687074196,6025;3;
SNDX;IMOEX;10.02.2017;Индекс МосБиржи;Индекс МосБиржи;2162,19;2176,79;2182,18;2156,81;32483207075;;;2;10134324609506,04;RUB;4687074196,6025;3;
SNDX;IMOEX;13.02.2017;Индекс МосБиржи;Индекс МосБиржи;2161,49;2165,12;2174,73;2150,52;30244774907;;;2;10131061964133,13;RUB;4687074196,6025;3;
SNDX;IMOEX;14.02.2017;Индекс МосБиржи;Индекс МосБиржи;2141,5;2162,13;2162,13;2135,01;29242797430;;;2;10037365064059,66;RUB;4687074196,6025;3;
SNDX;IMOEX;15.02.2017;Индекс МосБиржи;Индекс МосБиржи;2137,08;2140,2;2156,36;2109,93;39741338423;;;2;10016657726511,89;RUB;4687074196,6025;3;
SNDX;IMOEX;16.02.2017;Индекс МосБиржи;Индекс МосБиржи;2148,48;2138,7;2148,48;2127,04;28986630294;;;2;10070072568413,4;RUB;4687074196,6025;3;
SNDX;IMOEX;17.02.2017;Индекс МосБиржи;Индекс МосБиржи;2128,21;2148,58;2148,84;2125,45;30610671678;;;2;9975069296144,15;RUB;4687074196,6025;3;
